CustomerID,Gender,Region,Age,Product_Name,Category,Unit_Price,Quantity,Total_Price,Shipping_Fee,Shipping_Status,Order_Date
CUST0268,Male,North,,Monitor,Electronics,300,5,1500,13.31,Returned,12/8/2023
CUST0046,Male,West,22,Headphones,Accessories,100,2,200,6.93,In Transit,4/9/2023
CUST0169,Female,South,54,Monitor,Electronics,300,1,300,11.31,Returned,8/28/2023
CUST0002,Male,North,23,Headphones,Accessories,100,5,500,12.22,Delivered,1/18/2023
CUST0173,Female,South,,Laptop,Electronics,1500,3,4500,5.4,Delivered,1/19/2023
CUST0147,Male,North,64,Smartwatch,Wearables,200,2,400,11.26,In Transit,1/11/2023
CUST0262,Male,East,27,Smartwatch,Wearables,200,1,200,18.38,In Transit,10/23/2023
CUST0159,Female,South,18,Keyboard,Accessories,50,2,100,15.08,Returned,6/15/2023
CUST0046,Female,East,22,Mouse,Accessories,30,1,30,8.22,Returned,2/25/2023
CUST0023,Male,West,29,Headphones,Accessories,100,3,300,10.7,Delivered,4/23/2023
CUST0201,Female,East,49,Headphones,Accessories,100,2,200,9.8,Returned,6/1/2023
CUST0283,Female,West,67,Mouse,Accessories,30,3,90,5.65,In Transit,9/13/2023
CUST0199,Female,West,41,Keyboard,Accessories,50,5,250,7.13,Delivered,2/17/2023
CUST0039,Male,South,60,Keyboard,Accessories,50,4,200,10.91,Returned,12/10/2023
CUST0276,Male,West,66,Mouse,Accessories,30,1,30,11.36,In Transit,6/29/2023
CUST0143,Female,,36,Smartwatch,Wearables,200,3,600,7.89,Delivered,7/14/2023
CUST0139,Male,North,57,Laptop,Electronics,1500,4,6000,10.92,In Transit,5/13/2023
CUST0210,Male,South,30,Smartphone,Electronics,800,2,1600,11.44,Returned,6/9/2023
CUST0293,Female,East,32,Smartwatch,Wearables,200,5,1000,7.16,In Transit,6/21/2023
CUST0049,Female,West,59,Monitor,Electronics,300,4,1200,17.37,In Transit,11/26/2023
CUST0283,Female,East,67,Smartphone,Electronics,800,5,4000,12.17,Delivered,11/8/2023
CUST0196,Female,South,37,Mouse,Accessories,30,3,90,19.41,Returned,12/27/2023
CUST0050,Male,North,,Mouse,Accessories,30,3,90,6.97,Returned,6/6/2023
CUST0007,Female,East,52,Headphones,Accessories,100,2,200,12,In Transit,10/28/2023
CUST0242,Male,North,58,Smartphone,Electronics,800,4,3200,18.11,,12/30/2023
CUST0042,Female,South,57,Keyboard,Accessories,50,1,50,9.6,Delivered,12/4/2023
CUST0264,Male,East,59,Smartphone,Electronics,1658.432327,2,1600,11.59,In Transit,2/1/2023
CUST0053,Female,North,25,Smartwatch,Wearables,200,1,200,14.9,Delivered,8/14/2023
CUST0154,Female,East,31,Smartphone,Electronics,800,1,800,19.22,In Transit,12/7/2023
CUST0190,Male,North,28,Keyboard,Accessories,50,4,200,15.31,Delivered,6/28/2023
CUST0038,Female,East,57,Monitor,Electronics,300,2,600,12.38,Returned,11/17/2023
